contractSymbol,lastTradeDate,strike,price,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Date,delta,yield_to_strike,Premium,ROC,RSI,Momentum,IV_percentile,NearEarnings,label
NVDA250404C00122000,2025-03-28 19:59:49+00:00,122.0,0.19,0.19,0.2,-0.16,-45.714287,36896.0,15084,0.5293015820312501,False,REGULAR,USD,CALL,2025-03-30,0.3,7.78688524590164e-05,0.19,0.001557377049180328,50,0.0,0.5293015820312501,0,0
NVDA250404C00123000,2025-03-28 19:59:32+00:00,123.0,0.15,0.15,0.16,-0.120000005,-44.444447,6872.0,25153,0.534184345703125,False,REGULAR,USD,CALL,2025-03-30,0.3,6.097560975609756e-05,0.15,0.0012195121951219512,50,0.0,0.534184345703125,0,0
NVDA250404C00124000,2025-03-28 19:57:09+00:00,124.0,0.12,0.12,0.13,-0.1,-45.454548,3209.0,13838,0.5410202148437502,False,REGULAR,USD,CALL,2025-03-30,0.3,4.8387096774193554e-05,0.12,0.000967741935483871,50,0.0,0.5410202148437502,0,0
NVDA250404C00125000,2025-03-28 19:59:24+00:00,125.0,0.11,0.1,0.11,-0.07000001,-38.888893,54312.0,50783,0.55273884765625,False,REGULAR,USD,CALL,2025-03-30,0.3,4.4000000000000006e-05,0.11,0.00088,50,0.0,0.55273884765625,0,0
NVDA250404C00126000,2025-03-28 19:59:47+00:00,126.0,0.08,0.08,0.09,-0.07000001,-46.66667,2917.0,7783,0.5585981640625001,False,REGULAR,USD,CALL,2025-03-30,0.3,3.1746031746031745e-05,0.08,0.0006349206349206349,50,0.0,0.5585981640625001,0,0
NVDA250404C00127000,2025-03-28 19:59:50+00:00,127.0,0.08,0.07,0.08,-0.04,-33.333336,3511.0,9492,0.5742230078125,False,REGULAR,USD,CALL,2025-03-30,0.3,3.1496062992125985e-05,0.08,0.0006299212598425197,50,0.0,0.5742230078125,0,0
NVDA250404C00128000,2025-03-28 19:56:16+00:00,128.0,0.06,0.06,0.07,-0.040000003,-40.000004,2868.0,7330,0.585941640625,False,REGULAR,USD,CALL,2025-03-30,0.3,2.34375e-05,0.06,0.00046875,50,0.0,0.585941640625,0,0
NVDA250404C00129000,2025-03-28 19:59:23+00:00,129.0,0.06,0.05,0.06,-0.030000005,-33.333336,4162.0,9826,0.5976602734375001,False,REGULAR,USD,CALL,2025-03-30,0.3,2.325581395348837e-05,0.06,0.0004651162790697674,50,0.0,0.5976602734375001,0,0
NVDA250404C00130000,2025-03-28 19:58:45+00:00,130.0,0.05,0.04,0.05,-0.029999997,-37.499996,9015.0,49197,0.6015664843750002,False,REGULAR,USD,CALL,2025-03-30,0.3,1.923076923076923e-05,0.05,0.0003846153846153846,50,0.0,0.6015664843750002,0,0
NVDA250404C00131000,2025-03-28 19:56:13+00:00,131.0,0.04,0.04,0.05,-0.030000001,-42.857143,739.0,5099,0.6250037500000001,False,REGULAR,USD,CALL,2025-03-30,0.3,1.5267175572519086e-05,0.04,0.0003053435114503817,50,0.0,0.6250037500000001,0,0
